NODE,MD_VERSION,NNODES,MAPPED-BY,SAMPLE_NUM,PPN,WALLTIME(ms)
compute-641-3,MPI,4,core,1,1,1476
compute-641-3,MPI,4,core,2,1,1471
compute-641-3,MPI,4,core,3,1,1467
compute-641-3,MPI,4,core,4,1,1465
compute-641-3,MPI,4,core,5,1,1468
compute-641-3,MPI,4,core,1,2,1534
compute-641-3,MPI,4,core,2,2,1507
compute-641-3,MPI,4,core,3,2,1503
compute-641-3,MPI,4,core,4,2,1578
compute-641-3,MPI,4,core,5,2,1503
compute-641-3,MPI,4,core,1,4,1565
compute-641-3,MPI,4,core,2,4,1566
compute-641-3,MPI,4,core,3,4,1710
compute-641-3,MPI,4,core,4,4,1570
compute-641-3,MPI,4,core,5,4,1568
compute-641-3,MPI,4,core,1,8,1666
compute-641-3,MPI,4,core,2,8,1662
compute-641-3,MPI,4,core,3,8,1791
compute-641-3,MPI,4,core,4,8,1673
compute-641-3,MPI,4,core,5,8,1855
compute-641-3,MPI,4,core,1,10,1691
compute-641-3,MPI,4,core,2,10,1693
compute-641-3,MPI,4,core,3,10,1857
compute-641-3,MPI,4,core,4,10,1695
compute-641-3,MPI,4,core,5,10,1839
compute-641-3,MPI,4,core,1,12,1710
compute-641-3,MPI,4,core,2,12,1867
compute-641-3,MPI,4,core,3,12,1707
compute-641-3,MPI,4,core,4,12,1711
compute-641-3,MPI,4,core,5,12,1874
compute-641-3,MPI,4,core,1,14,1905
compute-641-3,MPI,4,core,2,14,1758
compute-641-3,MPI,4,core,3,14,1947
compute-641-3,MPI,4,core,4,14,1895
compute-641-3,MPI,4,core,5,14,1879
compute-641-3,MPI,4,core,1,16,1767
compute-641-3,MPI,4,core,2,16,1770
compute-641-3,MPI,4,core,3,16,1927
compute-641-3,MPI,4,core,4,16,1789
compute-641-3,MPI,4,core,5,16,1916
compute-641-3,MPI,4,core,1,22,2587
compute-641-3,MPI,4,core,2,22,3357
compute-641-3,MPI,4,core,3,22,2467
compute-641-3,MPI,4,core,4,22,2457
compute-641-3,MPI,4,core,5,22,2799
compute-641-3,MPI,4,core,1,24,2613
compute-641-3,MPI,4,core,2,24,2779
compute-641-3,MPI,4,core,3,24,2998
compute-641-3,MPI,4,core,4,24,3007
compute-641-3,MPI,4,core,5,24,3019
compute-641-3,MPI,4,core,1,26,3434
compute-641-3,MPI,4,core,2,26,2555
compute-641-3,MPI,4,core,3,26,2649
compute-641-3,MPI,4,core,4,26,2708
compute-641-3,MPI,4,core,5,26,3592
compute-641-3,MPI,4,core,1,28,2716
compute-641-3,MPI,4,core,2,28,3297
compute-641-3,MPI,4,core,3,28,2848
compute-641-3,MPI,4,core,4,28,3186
compute-641-3,MPI,4,core,5,28,3868
compute-641-3,MPI,4,core,1,30,10094
compute-641-3,MPI,4,core,2,30,7032
compute-641-3,MPI,4,core,3,30,10188
compute-641-3,MPI,4,core,4,30,10530
compute-641-3,MPI,4,core,5,30,10498
compute-641-3,MPI,4,core,1,32,11507
compute-641-3,MPI,4,core,2,32,11487
compute-641-3,MPI,4,core,3,32,11482
compute-641-3,MPI,4,core,4,32,11830
compute-641-3,MPI,4,core,5,32,11201
compute-641-3,MPI,4,core,1,34,12500
compute-641-3,MPI,4,core,2,34,12057
compute-641-3,MPI,4,core,3,34,12224
compute-641-3,MPI,4,core,4,34,12660
compute-641-3,MPI,4,core,5,34,12312
compute-641-3,MPI,4,core,1,36,11567
compute-641-3,MPI,4,core,2,36,11757
compute-641-3,MPI,4,core,3,36,12614
compute-641-3,MPI,4,core,4,36,10046
compute-641-3,MPI,4,core,5,36,12059
compute-641-3,MPI,4,core,1,38,12760
compute-641-3,MPI,4,core,2,38,11984
compute-641-3,MPI,4,core,3,38,10711
compute-641-3,MPI,4,core,4,38,10999
compute-641-3,MPI,4,core,5,38,11047
compute-641-3,MPI,4,core,1,64,15069
compute-641-3,MPI,4,core,2,64,14485
compute-641-3,MPI,4,core,3,64,17186
compute-641-3,MPI,4,core,4,64,16014
compute-641-3,MPI,4,core,5,64,14459
compute-641-3,MPI,4,core,1,128,18185
compute-641-3,MPI,4,core,2,128,21634
compute-641-3,MPI,4,core,3,128,20509
compute-641-3,MPI,4,core,4,128,23080
compute-641-3,MPI,4,core,5,128,22485
