NODE,MD_VERSION,NNODES,MAPPED-BY,SAMPLE_NUM,PPN,WALLTIME(ms)
compute-641-6,MPI,4,core,1,1,1.243400
compute-641-6,MPI,4,core,2,1,1.246865
compute-641-6,MPI,4,core,3,1,1.245658
compute-641-6,MPI,4,core,4,1,1.242431
compute-641-6,MPI,4,core,5,1,1.243758
compute-641-6,MPI,4,core,1,2,0.785703
compute-641-6,MPI,4,core,2,2,0.784470
compute-641-6,MPI,4,core,3,2,0.783674
compute-641-6,MPI,4,core,4,2,0.784565
compute-641-6,MPI,4,core,5,2,0.784535
compute-641-6,MPI,4,core,1,4,0.548537
compute-641-6,MPI,4,core,2,4,0.544373
compute-641-6,MPI,4,core,3,4,0.547287
compute-641-6,MPI,4,core,4,4,0.548608
compute-641-6,MPI,4,core,5,4,0.550434
compute-641-6,MPI,4,core,1,8,0.439348
compute-641-6,MPI,4,core,2,8,0.446786
compute-641-6,MPI,4,core,3,8,0.439584
compute-641-6,MPI,4,core,4,8,0.440392
compute-641-6,MPI,4,core,5,8,0.436355
compute-641-6,MPI,4,core,1,10,0.425490
compute-641-6,MPI,4,core,2,10,0.427620
compute-641-6,MPI,4,core,3,10,0.421465
compute-641-6,MPI,4,core,4,10,0.434362
compute-641-6,MPI,4,core,5,10,0.423315
compute-641-6,MPI,4,core,1,12,0.416944
compute-641-6,MPI,4,core,2,12,0.424182
compute-641-6,MPI,4,core,3,12,0.420218
compute-641-6,MPI,4,core,4,12,0.424475
compute-641-6,MPI,4,core,5,12,0.418629
compute-641-6,MPI,4,core,1,14,0.413378
compute-641-6,MPI,4,core,2,14,0.428021
compute-641-6,MPI,4,core,3,14,0.411285
compute-641-6,MPI,4,core,4,14,0.405491
compute-641-6,MPI,4,core,5,14,0.427073
compute-641-6,MPI,4,core,1,16,0.423068
compute-641-6,MPI,4,core,2,16,0.422163
compute-641-6,MPI,4,core,3,16,0.418449
compute-641-6,MPI,4,core,4,16,0.399765
compute-641-6,MPI,4,core,5,16,0.406432
compute-641-6,MPI,4,core,1,22,0.448919
compute-641-6,MPI,4,core,2,22,0.631147
compute-641-6,MPI,4,core,3,22,0.455795
compute-641-6,MPI,4,core,4,22,0.459543
compute-641-6,MPI,4,core,5,22,0.517412
compute-641-6,MPI,4,core,1,24,0.433737
compute-641-6,MPI,4,core,2,24,0.592059
compute-641-6,MPI,4,core,3,24,0.437059
compute-641-6,MPI,4,core,4,24,0.419690
compute-641-6,MPI,4,core,5,24,0.534788
compute-641-6,MPI,4,core,1,26,0.664282
compute-641-6,MPI,4,core,2,26,0.493411
compute-641-6,MPI,4,core,3,26,0.695605
compute-641-6,MPI,4,core,4,26,0.755024
compute-641-6,MPI,4,core,5,26,0.656989
compute-641-6,MPI,4,core,1,28,0.634659
compute-641-6,MPI,4,core,2,28,0.485393
compute-641-6,MPI,4,core,3,28,0.655447
compute-641-6,MPI,4,core,4,28,0.718826
compute-641-6,MPI,4,core,5,28,0.484761
compute-641-6,MPI,4,core,1,30,0.608593
compute-641-6,MPI,4,core,2,30,0.589843
compute-641-6,MPI,4,core,3,30,0.576632
compute-641-6,MPI,4,core,4,30,0.451905
compute-641-6,MPI,4,core,5,30,0.665446
compute-641-6,MPI,4,core,1,32,0.719391
compute-641-6,MPI,4,core,2,32,0.628483
compute-641-6,MPI,4,core,3,32,0.603840
compute-641-6,MPI,4,core,4,32,0.588824
compute-641-6,MPI,4,core,5,32,0.629884
compute-641-6,MPI,4,core,1,34,0.604426
compute-641-6,MPI,4,core,2,34,0.715496
compute-641-6,MPI,4,core,3,34,0.648955
compute-641-6,MPI,4,core,4,34,0.670119
compute-641-6,MPI,4,core,5,34,0.669994
compute-641-6,MPI,4,core,1,36,0.735618
compute-641-6,MPI,4,core,2,36,0.737235
compute-641-6,MPI,4,core,3,36,0.682700
compute-641-6,MPI,4,core,4,36,0.808938
compute-641-6,MPI,4,core,5,36,0.758074
compute-641-6,MPI,4,core,1,38,0.736963
compute-641-6,MPI,4,core,2,38,0.670026
compute-641-6,MPI,4,core,3,38,0.658501
compute-641-6,MPI,4,core,4,38,0.645625
compute-641-6,MPI,4,core,5,38,0.669681
compute-641-6,MPI,4,core,1,64,1.108967
compute-641-6,MPI,4,core,2,64,1.048980
compute-641-6,MPI,4,core,3,64,0.722313
compute-641-6,MPI,4,core,4,64,0.968435
compute-641-6,MPI,4,core,5,64,0.798745
compute-641-6,MPI,4,core,1,96,0.931624
compute-641-6,MPI,4,core,2,96,1.529504
compute-641-6,MPI,4,core,3,96,1.228405
compute-641-6,MPI,4,core,4,96,1.218389
compute-641-6,MPI,4,core,5,96,1.208065
compute-641-6,MPI,4,core,1,128,1.136246
compute-641-6,MPI,4,core,2,128,1.671817
compute-641-6,MPI,4,core,3,128,1.402127
compute-641-6,MPI,4,core,4,128,1.390073
compute-641-6,MPI,4,core,5,128,2.075142
