NODE,MD_VERSION,NNODES,MAPPED-BY,SAMPLE_NUM,PPN,WALLTIME(ms)
compute-641-10,MPI_MYR,4,core,1,1,1.266498
compute-641-10,MPI_MYR,4,core,2,1,1.307354
compute-641-10,MPI_MYR,4,core,3,1,1.264558
compute-641-10,MPI_MYR,4,core,4,1,1.256350
compute-641-10,MPI_MYR,4,core,5,1,1.256701
compute-641-10,MPI_MYR,4,core,1,2,0.954209
compute-641-10,MPI_MYR,4,core,2,2,0.795020
compute-641-10,MPI_MYR,4,core,3,2,0.798536
compute-641-10,MPI_MYR,4,core,4,2,0.798348
compute-641-10,MPI_MYR,4,core,5,2,0.798276
compute-641-10,MPI_MYR,4,core,1,4,0.559573
compute-641-10,MPI_MYR,4,core,2,4,0.559222
compute-641-10,MPI_MYR,4,core,3,4,0.556478
compute-641-10,MPI_MYR,4,core,4,4,0.555621
compute-641-10,MPI_MYR,4,core,5,4,0.560491
compute-641-10,MPI_MYR,4,core,1,8,0.451855
compute-641-10,MPI_MYR,4,core,2,8,0.449345
compute-641-10,MPI_MYR,4,core,3,8,0.454593
compute-641-10,MPI_MYR,4,core,4,8,0.446136
compute-641-10,MPI_MYR,4,core,5,8,0.454378
compute-641-10,MPI_MYR,4,core,1,10,0.490592
compute-641-10,MPI_MYR,4,core,2,10,0.424368
compute-641-10,MPI_MYR,4,core,3,10,0.432919
compute-641-10,MPI_MYR,4,core,4,10,0.429654
compute-641-10,MPI_MYR,4,core,5,10,0.432563
compute-641-10,MPI_MYR,4,core,1,12,0.422979
compute-641-10,MPI_MYR,4,core,2,12,0.416685
compute-641-10,MPI_MYR,4,core,3,12,0.414676
compute-641-10,MPI_MYR,4,core,4,12,0.418409
compute-641-10,MPI_MYR,4,core,5,12,0.421841
compute-641-10,MPI_MYR,4,core,1,14,0.403021
compute-641-10,MPI_MYR,4,core,2,14,0.402542
compute-641-10,MPI_MYR,4,core,3,14,0.398076
compute-641-10,MPI_MYR,4,core,4,14,0.407408
compute-641-10,MPI_MYR,4,core,5,14,0.403136
compute-641-10,MPI_MYR,4,core,1,16,0.401740
compute-641-10,MPI_MYR,4,core,2,16,0.395865
compute-641-10,MPI_MYR,4,core,3,16,0.390482
compute-641-10,MPI_MYR,4,core,4,16,0.394119
compute-641-10,MPI_MYR,4,core,5,16,0.398688
compute-641-10,MPI_MYR,4,core,1,22,0.405901
compute-641-10,MPI_MYR,4,core,2,22,0.376826
compute-641-10,MPI_MYR,4,core,3,22,0.375435
compute-641-10,MPI_MYR,4,core,4,22,0.383026
compute-641-10,MPI_MYR,4,core,5,22,0.393353
compute-641-10,MPI_MYR,4,core,1,24,0.379445
compute-641-10,MPI_MYR,4,core,2,24,0.382383
compute-641-10,MPI_MYR,4,core,3,24,0.416855
compute-641-10,MPI_MYR,4,core,4,24,0.374092
compute-641-10,MPI_MYR,4,core,5,24,0.547774
compute-641-10,MPI_MYR,4,core,1,26,0.472794
compute-641-10,MPI_MYR,4,core,2,26,0.409931
compute-641-10,MPI_MYR,4,core,3,26,0.410992
compute-641-10,MPI_MYR,4,core,4,26,0.415498
compute-641-10,MPI_MYR,4,core,5,26,0.412543
compute-641-10,MPI_MYR,4,core,1,28,0.417904
compute-641-10,MPI_MYR,4,core,2,28,0.418044
compute-641-10,MPI_MYR,4,core,3,28,0.410864
compute-641-10,MPI_MYR,4,core,4,28,0.422112
compute-641-10,MPI_MYR,4,core,5,28,0.422720
compute-641-10,MPI_MYR,4,core,1,30,0.458065
compute-641-10,MPI_MYR,4,core,2,30,0.466248
compute-641-10,MPI_MYR,4,core,3,30,0.466800
compute-641-10,MPI_MYR,4,core,4,30,0.456206
compute-641-10,MPI_MYR,4,core,5,30,0.460469
compute-641-10,MPI_MYR,4,core,1,32,0.452688
compute-641-10,MPI_MYR,4,core,2,32,0.459691
compute-641-10,MPI_MYR,4,core,3,32,0.454749
compute-641-10,MPI_MYR,4,core,4,32,0.463195
compute-641-10,MPI_MYR,4,core,5,32,0.441692
