NODE,MD_VERSION,SAMPLE_NUM,NTHREADS,WALLTIME(ms)
compute-641-8,OMP,1,1,18845
compute-641-8,OMP,2,1,18777
compute-641-8,OMP,3,1,18926
compute-641-8,OMP,4,1,18774
compute-641-8,OMP,5,1,18787
compute-641-8,OMP,1,2,19096
compute-641-8,OMP,2,2,17320
compute-641-8,OMP,3,2,18296
compute-641-8,OMP,4,2,18560
compute-641-8,OMP,5,2,13947
compute-641-8,OMP,1,4,16347
compute-641-8,OMP,2,4,17037
compute-641-8,OMP,3,4,16095
compute-641-8,OMP,4,4,12902
compute-641-8,OMP,5,4,17493
compute-641-8,OMP,1,8,12999
compute-641-8,OMP,2,8,15111
compute-641-8,OMP,3,8,12524
compute-641-8,OMP,4,8,13739
compute-641-8,OMP,5,8,12350
compute-641-8,OMP,1,16,14628
compute-641-8,OMP,2,16,14886
compute-641-8,OMP,3,16,16015
compute-641-8,OMP,4,16,14880
compute-641-8,OMP,5,16,14984
compute-641-8,OMP,1,32,18291
compute-641-8,OMP,2,32,19366
compute-641-8,OMP,3,32,17366
compute-641-8,OMP,4,32,18002
compute-641-8,OMP,5,32,18227
compute-641-8,OMP,1,34,4094
compute-641-8,OMP,2,34,4132
compute-641-8,OMP,3,34,3996
compute-641-8,OMP,4,34,4233
compute-641-8,OMP,5,34,4135
compute-641-8,OMP,1,36,3957
compute-641-8,OMP,2,36,4001
compute-641-8,OMP,3,36,4012
compute-641-8,OMP,4,36,4137
compute-641-8,OMP,5,36,4122
compute-641-8,OMP,1,64,4211
compute-641-8,OMP,2,64,4192
compute-641-8,OMP,3,64,4199
compute-641-8,OMP,4,64,4287
compute-641-8,OMP,5,64,4239
