NODE,MD_VERSION,SAMPLE_NUM,NTHREADS,WALLTIME(ms)
compute-641-8,OMP,1,8,12993
compute-641-8,OMP,2,8,13027
compute-641-8,OMP,3,8,15093
compute-641-8,OMP,4,8,13114
compute-641-8,OMP,5,8,13578
compute-641-8,OMP,1,16,15642
compute-641-8,OMP,2,16,16356
compute-641-8,OMP,3,16,15471
compute-641-8,OMP,4,16,15518
compute-641-8,OMP,5,16,14836
compute-641-8,OMP,1,32,17467
compute-641-8,OMP,2,32,17765
compute-641-8,OMP,3,32,18041
compute-641-8,OMP,4,32,17270
compute-641-8,OMP,5,32,17468
compute-641-8,OMP,1,34,4040
compute-641-8,OMP,2,34,4063
compute-641-8,OMP,3,34,4257
compute-641-8,OMP,4,34,4074
compute-641-8,OMP,5,34,4155
compute-641-8,OMP,1,36,4132
compute-641-8,OMP,2,36,4131
compute-641-8,OMP,3,36,4391
compute-641-8,OMP,4,36,4131
compute-641-8,OMP,5,36,4224
compute-641-8,OMP,1,64,4246
compute-641-8,OMP,2,64,4204
compute-641-8,OMP,3,64,4305
compute-641-8,OMP,4,64,4193
compute-641-8,OMP,5,64,4225
compute-641-8,OMP,1,128,4231
compute-641-8,OMP,2,128,4298
compute-641-8,OMP,3,128,4250
compute-641-8,OMP,4,128,4172
compute-641-8,OMP,5,128,4161
compute-641-8,OMP,1,256,4221
compute-641-8,OMP,2,256,4230
compute-641-8,OMP,3,256,4234
compute-641-8,OMP,4,256,4202
compute-641-8,OMP,5,256,4217
compute-641-8,OMP,1,512,4357
compute-641-8,OMP,2,512,4247
compute-641-8,OMP,3,512,4227
compute-641-8,OMP,4,512,4393
compute-641-8,OMP,5,512,4575
compute-641-8,OMP,1,1024,4503
compute-641-8,OMP,2,1024,4247
compute-641-8,OMP,3,1024,4297
compute-641-8,OMP,4,1024,4292
compute-641-8,OMP,5,1024,4608
compute-641-8,OMP,1,2048,4457
compute-641-8,OMP,2,2048,4446
compute-641-8,OMP,3,2048,4502
compute-641-8,OMP,4,2048,4686
compute-641-8,OMP,5,2048,4447
compute-641-8,OMP,1,4096,4794
compute-641-8,OMP,2,4096,4898
compute-641-8,OMP,3,4096,4863
compute-641-8,OMP,4,4096,5017
compute-641-8,OMP,5,4096,4842
compute-641-8,OMP,1,8192,5984
compute-641-8,OMP,2,8192,6071
compute-641-8,OMP,3,8192,6052
compute-641-8,OMP,4,8192,6093
compute-641-8,OMP,5,8192,6136
compute-641-8,OMP,1,16384,8880
compute-641-8,OMP,2,16384,8853
compute-641-8,OMP,3,16384,8058
compute-641-8,OMP,4,16384,8374
compute-641-8,OMP,5,16384,8436
